"","data_name","model_name","stoc","hype","imp","randnum_train","randnum_split","randnum_stoc","epochs","trials","folds","train_time","hype_time","inf_time","date","best_threshold","best_f1_score","accuracy_nothres_nocal","precision_nothres_nocal","recall_nothres_nocal","f1_nothres_nocal","auc_nothres_nocal","av_prec_nothres_nocal","brier_nothres_nocal","pr_auc_nothres_nocal","true_neg_nothres_nocal","false_pos_nothres_nocal","false_neg_nothres_nocal","true_pos_nothres_nocal","accuracy_nothres_cal","precision_nothres_cal","recall_nothres_cal","f1_nothres_cal","auc_nothres_cal","av_prec_nothres_cal","brier_nothres_cal","pr_auc_nothres_cal","true_neg_nothres_cal","false_pos_nothres_cal","false_neg_nothres_cal","true_pos_nothres_cal","accuracy","precision","recall","f1","auc","av_prec","brier","pr_auc","true_neg","false_pos","false_neg","true_pos","lr_max","batch_size","ESPatience","weight_decay","alpha","gamma","nf","fc_dropout","conv_dropout","ks","kss","conv_layers","hidden_size","rnn_layers","cell_dropout","rnn_dropout","max_depth","eta","subsample","colsample_bytree","n_estimators","min_child_weight","reg_alpha","reg_lambda","epochs.1","n_heads","d_ff","encoder_layers","encoder_dropout","learning_rate_init","prop"
"45","order2_46","MLSTMFCN",0.1,"True","False",7,3,4,50,200,2,310.04272808088,52875.7813517828,13.152243741788,"20241022-093957",0.38174975,0.968824940047962,0.9991,0.980099502487562,0.933649289099526,0.956310679611651,0.988547661238387,0.977925339184883,0.00786180144176083,0.977908258027464,19785,4,14,197,0.9991,0.980099502487562,0.933649289099526,0.956310679611651,0.988548858705792,0.97793041168412,0.000797043065020249,0.977913329773145,19785,4,14,197,0.99935,0.980582524271845,0.957345971563981,0.968824940047962,0.988548858705792,0.97793041168412,0.000797043065020249,0.977913329773145,19785,4,9,202,0.00797673857042771,64,10,0.00918251218712024,0.415995742763107,1.60850909517318,NA,0.304155995317044,NA,NA,"[3, 5, 7]","[64, 128, 64]",80,1,0.0749716866158593,0.348036160736061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01055
"46","order2_64","InceptionTime",0.1,"True","False",7,3,4,50,200,2,643.062499997672,65989.0309402719,55.7741586961783,"20241015-202643",0.41862494,0.993678887484197,0.99975,0.997455470737914,0.98989898989899,0.993662864385298,0.999994203409323,0.999711913570726,0.0395616105191682,0.99971154722501,19603,1,4,392,0.99975,0.997455470737914,0.98989898989899,0.993662864385298,0.999994203409323,0.999711913570726,0.000268250101027842,0.99971154722501,19603,1,4,392,0.99975,0.994936708860759,0.992424242424242,0.993678887484197,0.999994203409323,0.999711913570726,0.000268250101027842,0.99971154722501,19602,2,3,393,NA,128,10,0.00170495167534377,0.242157519756792,1.51947404550127,16,0.14262934473745,0.146024308872679,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0389671896988403,0.0198
"47","order2_64","InceptionTime",0.1,"True","False",9,3,4,50,200,2,279.326446057996,115866.756763818,41.2444342649542,"20241103-114138",0.22335225,0.982412060301507,0.999,0.982051282051282,0.967171717171717,0.974554707379135,0.999970372980983,0.998528041914109,0.0432033963679242,0.998526168876678,19597,7,13,383,0.999,0.982051282051282,0.967171717171717,0.974554707379135,0.999970372980983,0.998528041914109,0.000742202507915053,0.998526168876678,19597,7,13,383,0.9993,0.9775,0.987373737373737,0.982412060301508,0.999970372980983,0.998528041914109,0.000742202507915053,0.998526168876678,19595,9,5,391,0.0389671896988403,128,10,0.00170495167534377,0.242157519756792,1.51947404550127,16,0.14262934473745,0.146024308872679,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198
"48","order2_64","LSTMAttention",0.1,"True","False",9,3,4,50,200,2,147.829025998944,45035.2162425129,14.7159404709237,"20241101-082513",0.94702345,0.99622641509434,0.99965,0.982630272952854,1,0.991239048811014,0.999998583055612,0.999929933033612,0.0161580758479932,0.999929844439422,19597,7,0,396,0.99965,0.982630272952854,1,0.991239048811014,0.999998583055612,0.999929933033612,0.000321356547993145,0.999929844439422,19597,7,0,396,0.99985,0.992481203007519,1,0.99622641509434,0.999998583055612,0.999929933033612,0.000321356547993145,0.999929844439422,19601,3,0,396,0.00361539458808367,256,10,0.00954677907724821,0.226453145634723,1.06470376076652,NA,0.124503262225668,NA,NA,NA,NA,64,1,NA,0.162578492246472,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,512,2,0.105257730241439,NA,0.0198
"49","order2_64","MLSTMFCN",0.1,"True","False",7,3,4,50,200,2,189.053275089245,66245.0649387576,13.2800542209297,"20241016-080413",0.50042224,0.962025316455696,0.9985,0.964467005076142,0.95959595959596,0.962025316455696,0.999752034732141,0.987451174833495,0.00672986845561765,0.987433526756559,19590,14,16,380,0.9985,0.964467005076142,0.95959595959596,0.962025316455696,0.999752034732141,0.987449235062358,0.00161560929814962,0.987431582603864,19590,14,16,380,0.9985,0.964467005076142,0.95959595959596,0.962025316455696,0.999752034732141,0.987449235062358,0.00161560929814962,0.987431582603864,19590,14,16,380,NA,64,10,0.00491348512914555,0.425532590942168,1.18429105634332,NA,0.116082000269805,NA,NA,"[3, 5, 3]","[64, 128, 64]",120,1,0.0159981010539953,0.698768827883393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00640779207182678,0.0198
"50","order2_64","MLSTMFCN",0.1,"True","False",9,3,4,50,200,2,777.628284757026,101346.540397783,47.5708790569333,"20241031-095817",0.51244473,0.944658944658945,0.9978,0.960732984293194,0.926767676767677,0.943444730077121,0.992833224099802,0.967458836422926,0.00444630972151363,0.967430982241409,19589,15,29,367,0.9978,0.960732984293194,0.926767676767677,0.943444730077121,0.992833224099802,0.967455739246453,0.00195831013806362,0.967427875332452,19589,15,29,367,0.99785,0.963254593175853,0.926767676767677,0.944658944658945,0.992833224099802,0.967455739246453,0.00195831013806362,0.967427875332452,19590,14,29,367,0.00640779207182678,64,10,0.00491348512914555,0.425532590942168,1.18429105634332,NA,0.116082000269805,NA,NA,"[3, 5, 3]","[64, 128, 64]",120,1,0.0159981010539953,0.698768827883393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198
"51","order2_64","MLSTMFCN",0.1,"True","False",9,3,4,50,200,2,335.163217197987,83541.9765595391,15.1457029819721,"20241102-103141",0.51244473,0.944658944658945,0.9978,0.960732984293194,0.926767676767677,0.943444730077121,0.992833224099802,0.967458836422926,0.00444630972151363,0.967430982241409,19589,15,29,367,0.9978,0.960732984293194,0.926767676767677,0.943444730077121,0.992833224099802,0.967455739246453,0.00195831013806362,0.967427875332452,19589,15,29,367,0.99785,0.963254593175853,0.926767676767677,0.944658944658945,0.992833224099802,0.967455739246453,0.00195831013806362,0.967427875332452,19590,14,29,367,0.00640779207182678,64,10,0.00491348512914555,0.425532590942168,1.18429105634332,NA,0.116082000269805,NA,NA,"[3, 5, 3]","[64, 128, 64]",120,1,0.0159981010539953,0.698768827883393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198
"52","order2_64","ResNet",0.1,"True","False",8,3,4,50,200,2,251.560748723103,67884.150665907,11.6232212799368,"20241102-102817",0.38757214,0.981226533166458,0.9992,0.97979797979798,0.97979797979798,0.97979797979798,0.999936881568181,0.996631781831148,0.00545042918153497,0.996627113128817,19596,8,8,388,0.9992,0.97979797979798,0.97979797979798,0.97979797979798,0.999936881568181,0.996631781831148,0.00116446642991833,0.996627113128818,19596,8,8,388,0.99925,0.972704714640198,0.98989898989899,0.981226533166458,0.999936881568181,0.996631781831148,0.00116446642991833,0.996627113128818,19593,11,4,392,0.00580771205772198,64,10,0.000769061065645793,0.471049531493995,1.1698777664703,64,0.265716919116338,NA,"[7, 7, 7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198
"53","order2_64","ResNet",0.1,"True","False",9,3,4,50,200,2,308.526204608032,67531.3091608711,11.7921958749648,"20241101-102513",0.30278018,0.957854406130268,0.9978,0.988888888888889,0.898989898989899,0.941798941798942,0.994749319351441,0.976398552928896,0.00501016378579536,0.976379608485818,19600,4,40,356,0.9978,0.988888888888889,0.898989898989899,0.941798941798942,0.99473360415005,0.976387350292321,0.0021624996828663,0.976368417604405,19600,4,40,356,0.99835,0.968992248062015,0.946969696969697,0.957854406130268,0.99473360415005,0.976387350292321,0.0021624996828663,0.976368417604405,19592,12,21,375,0.00580771205772198,64,10,0.000769061065645793,0.471049531493995,1.1698777664703,64,0.265716919116338,NA,"[7, 7, 7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0198
"54","order2_64","XGBoost",0.1,"True","False",9,3,4,50,200,2,34.0866425340064,18594.455650659,0.92490198201267,"20241029-083551",0.441963702440262,0.864931846344486,0.98135,0.515151515151515,0.987373737373737,0.677056277056277,0.99773469236334,0.905084506342931,0.0193904816427951,0.904897405694758,19236,368,5,391,0.9942,0.857142857142857,0.848484848484849,0.852791878172589,0.99773469236334,0.905084506342931,0.0046989207380678,0.904897405694758,19548,56,60,336,0.99455,0.849148418491484,0.881313131313131,0.864931846344486,0.99773469236334,0.905084506342931,0.0046989207380678,0.904897405694758,19542,62,47,349,NA,NA,5,NA,NA,4.56333273755133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0.0296835269441171,0.916517744435859,0.898722509013163,503,1,0.718503250591356,2.4229227221915,NA,NA,NA,NA,NA,NA,0.0198
