"","data_name","model_name","stoc","hype","imp","randnum_train","randnum_split","randnum_stoc","epochs","trials","folds","train_time","hype_time","inf_time","date","best_threshold","best_f1_score","accuracy_nothres_nocal","precision_nothres_nocal","recall_nothres_nocal","f1_nothres_nocal","auc_nothres_nocal","av_prec_nothres_nocal","brier_nothres_nocal","pr_auc_nothres_nocal","true_neg_nothres_nocal","false_pos_nothres_nocal","false_neg_nothres_nocal","true_pos_nothres_nocal","accuracy_nothres_cal","precision_nothres_cal","recall_nothres_cal","f1_nothres_cal","auc_nothres_cal","av_prec_nothres_cal","brier_nothres_cal","pr_auc_nothres_cal","true_neg_nothres_cal","false_pos_nothres_cal","false_neg_nothres_cal","true_pos_nothres_cal","accuracy","precision","recall","f1","auc","av_prec","brier","pr_auc","true_neg","false_pos","false_neg","true_pos","lr_max","batch_size","ESPatience","weight_decay","alpha","gamma","nf","fc_dropout","conv_dropout","ks","kss","conv_layers","hidden_size","rnn_layers","cell_dropout","rnn_dropout","max_depth","eta","subsample","colsample_bytree","n_estimators","min_child_weight","reg_alpha","reg_lambda","n_heads","d_ff","encoder_layers","encoder_dropout","prop","C","max_delta_step","accuracy_out","precision_out","recall_out","f1_out","auc_out","av_prec_out","brier_out","pr_auc_out","true_neg_out","false_pos_out","false_neg_out","true_pos_out","selection"
"12","critical_1","MLSTMFCN",0.1,"True","False",8,3,4,50,200,2,147.991440449026,54253.6105851859,21.0857129889773,2024-11-01 15:15:10,0.9999981,1,1,1,1,1,1,1,0.136987788283536,1,19407,0,0,593,1,1,1,1,1,1,0.000212005561905633,1,19407,0,0,593,1,1,1,1,1,1,0.000212005561905633,1,19407,0,0,593,0.0486093737035686,64,5,0.000677294722094728,0.196070658255558,2.3141619429057,NA,0.0242625774176114,NA,NA,"[7, 5, 3]","[128, 256, 128]",60,2,0.113389487712518,0.492980045169242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,NA,NA,1,1,1,1,1,1,0.000212005561905633,1,19407,0,0,593,"thres_cal"
"13","critical_1","ResNet",0.1,"True","False",7,3,4,50,200,2,76.0211360668764,74822.5438100602,15.4870725981891,2024-10-14 11:46:48,0.052656926,1,0.99975,1,0.991568296795953,0.995766299745978,1,1,0.0234016989887741,1,19407,0,5,588,0.99975,1,0.991568296795953,0.995766299745978,1,1,0.000210879432638686,1,19407,0,5,588,1,1,1,1,1,1,0.000210879432638686,1,19407,0,0,593,0.0809232897827991,64,5,0.00601879654533012,0.195982411985024,1.35143264397823,128,0.0386336300779401,NA,"[7, 7, 7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,NA,NA,1,1,1,1,1,1,0.000210879432638686,1,19407,0,0,593,"thres_cal"
"14","critical_1","ResNet",0.1,"True","False",8,3,4,50,200,2,151.781907101162,36364.1110172248,13.1067867497914,2024-10-23 18:48:20,0.9114231,1,1,1,1,1,1,1,0.0199403654102326,1,19407,0,0,593,1,1,1,1,1,1,4.73891227139275e-05,1,19407,0,0,593,1,1,1,1,1,1,4.73891227139275e-05,1,19407,0,0,593,0.0345771680341269,128,5,0.00573566006308499,0.376933393293669,1.56099128177839,32,0.0132745832435238,NA,"[7, 7, 7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,NA,NA,1,1,1,1,1,1,4.73891227139275e-05,1,19407,0,0,593,"thres_cal"
"15","critical_1","ResNet",0.1,"True","False",9,3,4,50,200,2,34.4344822709681,34177.214777733,11.593048786046,2024-10-30 09:10:30,0.021986635,0.996621621621622,0.9958,1,0.858347386172007,0.923774954627949,0.998634382979803,0.998324421786541,0.0195695377778463,0.998324329627649,19407,0,84,509,0.9958,1,0.858347386172007,0.923774954627949,0.998634469873225,0.998324425554717,0.00327807974614417,0.998324333392878,19407,0,84,509,0.9998,0.998307952622673,0.994940978077572,0.996621621621622,0.998634469873225,0.998324425554717,0.00327807974614417,0.998324333392878,19406,1,3,590,0.0345771680341269,128,5,0.00573566006308499,0.376933393293669,1.56099128177839,32,0.0132745832435238,NA,"[7, 7, 7]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02965,NA,NA,0.9998,0.998307952622673,0.994940978077572,0.996621621621622,0.998634469873225,0.998324425554717,0.00327807974614417,0.998324333392878,19406,1,3,590,"thres_cal"
"16","critical_1","XGBoost",0.1,"True","False",7,3,4,50,200,2,6.11071248166263,2031.03494191077,1.02638661116362,2024-10-14 16:45:06,0.793151676654816,0.998313659359191,0.9993,0.976935749588138,1,0.988333333333333,0.99999956553289,0.999985857490481,0.00793799026061681,0.99998584560984,19393,14,0,593,0.9999,0.998313659359191,0.998313659359191,0.998313659359191,0.99999956553289,0.999985857490481,0.000368366664432202,0.99998584560984,19406,1,1,592,0.9999,0.998313659359191,0.998313659359191,0.998313659359191,0.99999956553289,0.999985857490481,0.000368366664432202,0.99998584560984,19406,1,1,592,NA,NA,5,NA,NA,4.03574507231494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.254490582467847,0.979506943135964,0.676837640607693,149,10,0.744018288947351,2.52660206175061,NA,NA,NA,NA,0.02965,NA,NA,0.9999,0.998313659359191,0.998313659359191,0.998313659359191,0.99999956553289,0.999985857490481,0.000368366664432202,0.99998584560984,19406,1,1,592,"thres_cal"
"17","critical_1","XGBoost",0.1,"True","False",8,3,4,50,200,2,2.65877895243466,1333.60177052207,1.70767630264163,2024-10-22 09:04:37,0.570704162120819,0.999157540016849,0.9996,0.986688851913478,1,0.993299832495812,0.999999913106578,0.999997161042692,0.00765471696886173,0.999997158648968,19399,8,0,593,0.99995,0.998316498316498,1,0.999157540016849,0.999999913106578,0.999997161042692,0.000320133146086403,0.999997158648968,19406,1,0,593,0.99995,0.998316498316498,1,0.999157540016849,0.999999913106578,0.999997161042692,0.000320133146086403,0.999997158648968,19406,1,0,593,NA,NA,5,NA,NA,4.03574507231494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.254490582467847,0.979506943135964,0.676837640607693,149,10,0.744018288947351,2.52660206175061,NA,NA,NA,NA,0.02965,NA,NA,0.99995,0.998316498316498,1,0.999157540016849,0.999999913106578,0.999997161042692,0.000320133146086403,0.999997158648968,19406,1,0,593,"thres_cal"
"18","critical_1","XGBoost",0.1,"True","False",9,3,4,50,200,2,13.5613437319989,4370.49821832101,0.972571322985459,2024-10-28 16:32:23,0.750245630741119,1,0.9991,0.970540098199673,1,0.985049833887043,1,1,0.00769602904227467,1,19389,18,0,593,0.9999,0.996638655462185,1,0.998316498316498,1,1,0.000342934081372367,1,19405,2,0,593,1,1,1,1,1,1,0.000342934081372367,1,19407,0,0,593,NA,NA,5,NA,NA,4.03574507231494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.254490582467847,0.979506943135964,0.676837640607693,149,10,0.744018288947351,2.52660206175061,NA,NA,NA,NA,0.02965,NA,NA,1,1,1,1,1,1,0.000342934081372367,1,19407,0,0,593,"thres_cal"
"19","order1diff_var6_var4","InceptionTime",0.1,"True","False",7,3,4,50,200,2,461.915884308517,73647.7311687665,5.78733124118298,2024-10-15 15:56:32,0.93565434,0.999560052793665,0.99985,0.997368421052632,1,0.998682476943347,0.999999906747869,0.999998455649735,0.066543537448596,0.999998454971198,18860,3,0,1137,0.99985,0.997368421052632,1,0.998682476943347,0.999999906747869,0.999998455649735,0.000536488141714874,0.999998454971198,18860,3,0,1137,0.99995,1,0.999120492524186,0.999560052793665,0.999999906747869,0.999998455649735,0.000536488141714874,0.999998454971198,18863,0,1,1136,0.0203857169551538,64,5,0.00963721188084571,0.218629242029388,1.42764569119095,16,0.138125342377581,0.085570365165384,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05685,NA,NA,0.99995,1,0.999120492524186,0.999560052793665,0.999999906747869,0.999998455649735,0.000536488141714874,0.999998454971198,18863,0,1,1136,"thres_cal"
"20","order1diff_var6_var4","InceptionTime",0.1,"True","False",9,3,4,50,200,2,209.815199968056,88510.4834514471,4.89640114596114,2024-11-02 10:30:19,0.8365849,0.997368421052632,0.99845,0.973458904109589,1,0.986550976138829,0.999995057637044,0.999916790798657,0.10005981911889,0.999916747422872,18832,31,0,1137,0.99845,0.973458904109589,1,0.986550976138829,0.999995057637044,0.999916790798657,0.0719186459310337,0.999916747422873,18832,31,0,1137,0.9997,0.994750656167979,1,0.997368421052632,0.999995057637044,0.999916790798657,0.0719186459310337,0.999916747422873,18857,6,0,1137,0.0203857169551538,64,5,0.00963721188084571,0.218629242029388,1.42764569119095,16,0.138125342377581,0.085570365165384,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05685,NA,NA,0.9997,0.994750656167979,1,0.997368421052632,0.999995057637044,0.999916790798657,0.0719186459310337,0.999916747422873,18857,6,0,1137,"thres_cal"
"21","order1diff_var6_var4","InceptionTime",0.1,"True","False",8,3,4,50,200,2,195.897046695929,67255.944476873,9.62889490800444,2024-11-03 08:47:02,0.9970499,0.996925779534475,0.9985,0.974293059125964,1,0.986979166666667,0.999990068648023,0.999828552723862,0.0770307302523422,0.999828466944474,18833,30,0,1137,0.9985,0.974293059125964,1,0.986979166666667,0.999990068648023,0.999828553525414,0.00196375080104818,0.999828466943708,18833,30,0,1137,0.99965,0.995614035087719,0.998240985048373,0.996925779534475,0.999990068648023,0.999828553525414,0.00196375080104818,0.999828466943708,18858,5,2,1135,0.0203857169551538,64,5,0.00963721188084571,0.218629242029388,1.42764569119095,16,0.138125342377581,0.085570365165384,"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05685,NA,NA,0.99965,0.995614035087719,0.998240985048373,0.996925779534475,0.999990068648023,0.999828553525414,0.00196375080104818,0.999828466943708,18858,5,2,1135,"thres_cal"
"22","order1diff_var6_var4","LR",0.1,"True","False",7,3,4,50,40,2,3.66668398864567,42.2989348936826,1.24472192395478,2024-10-22 09:08:39,0.0998770669102669,0.574812967581047,0.88505,0.325734853029394,0.955145118733509,0.485797360769403,0.956726884696677,0.450030192282265,0.100536158053662,0.449345491492849,16615,2248,51,1086,0.9437,0.515492957746479,0.160949868073879,0.245308310991957,0.956726884696677,0.450014017432135,0.0419609169210308,0.449346069166068,18691,172,954,183,0.9318,0.445195557701593,0.810905892700088,0.574812967581047,0.956726884696677,0.450014017432135,0.0419609169210308,0.449346069166068,17714,1149,215,922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05685,0.01,NA,0.9318,0.445195557701593,0.810905892700088,0.574812967581047,0.956726884696677,0.450014017432135,0.0419609169210308,0.449346069166068,17714,1149,215,922,"thres_cal"
"23","order1diff_var6_var4","LR",0.1,"True","False",8,3,4,50,40,2,3.0051421681419,40.0349515369162,0.934924893081188,2024-10-23 08:23:23,0.0999084711074829,0.574812967581047,0.88505,0.325734853029394,0.955145118733509,0.485797360769403,0.956727047887907,0.449989767338279,0.100516376558311,0.449323908873209,16615,2248,51,1086,0.9437,0.515492957746479,0.160949868073879,0.245308310991957,0.956727047887907,0.449989767338279,0.041961634708887,0.449323908873209,18691,172,954,183,0.9318,0.445195557701593,0.810905892700088,0.574812967581047,0.956727047887907,0.449989767338279,0.041961634708887,0.449323908873209,17714,1149,215,922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05685,0.01,NA,0.9318,0.445195557701593,0.810905892700088,0.574812967581047,0.956727047887907,0.449989767338279,0.041961634708887,0.449323908873209,17714,1149,215,922,"thres_cal"
"24","order1diff_var6_var4","LR",0.1,"True","False",9,3,4,50,40,2,3.08498930799396,37.2755373179971,1.08552931199665,2024-10-25 08:28:55,0.101044222712517,0.574741460357255,0.88505,0.325734853029394,0.955145118733509,0.485797360769403,0.956721872394623,0.449998694702165,0.100541160825191,0.449328200631742,16615,2248,51,1086,0.9437,0.515492957746479,0.160949868073879,0.245308310991957,0.95672184908159,0.449997753194954,0.0419613383823084,0.449327335308046,18691,172,954,183,0.93215,0.446445959104187,0.80650835532102,0.574741460357255,0.95672184908159,0.449997753194954,0.0419613383823084,0.449327335308046,17726,1137,220,917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05685,0.01,NA,0.93215,0.446445959104187,0.80650835532102,0.574741460357255,0.95672184908159,0.449997753194954,0.0419613383823084,0.449327335308046,17726,1137,220,917,"thres_cal"
"25","order1diff_var6_var4","LSTMAttention",0.1,"True","False",7,3,4,50,200,2,139.27381812036,55285.918436721,9.92366048600525,2024-10-15 15:55:41,0.9789686,1,1,1,1,1,1,1,0.0224085514106274,1,18863,0,0,1137,1,1,1,1,1,1,0.000242343300827478,1,18863,0,0,1137,1,1,1,1,1,1,0.000242343300827478,1,18863,0,0,1137,0.0083372939632345,128,10,0.00427265310046331,0.485056132240979,1.41150835483611,NA,0.309604742218621,NA,NA,NA,NA,64,1,NA,0.0746791090385547,NA,NA,NA,NA,NA,NA,NA,NA,12,512,2,0.196231531668759,0.05685,NA,NA,1,1,1,1,1,1,0.000242343300827478,1,18863,0,0,1137,"thres_cal"
"26","order1diff_var6_var4","LSTMAttention",0.1,"True","False",9,3,4,50,200,2,79.2401160919107,70270.1142365759,9.81543562898878,2024-11-02 10:32:25,0.4425365,0.966623320329432,0.99085,0.977955911823647,0.858399296394019,0.914285714285714,0.999645968283738,0.993977616663629,0.0406940032175708,0.99397485822591,18841,22,161,976,0.99085,0.977955911823647,0.858399296394019,0.914285714285714,0.999645968283738,0.993977616663629,0.00546070732100358,0.99397485822591,18841,22,161,976,0.99615,0.952991452991453,0.980650835532102,0.966623320329432,0.999645968283738,0.993977616663629,0.00546070732100358,0.99397485822591,18808,55,22,1115,0.0083372939632345,128,10,0.00427265310046331,0.485056132240979,1.41150835483611,NA,0.309604742218621,NA,NA,NA,NA,64,1,NA,0.0746791090385547,NA,NA,NA,NA,NA,NA,NA,NA,12,512,2,0.196231531668759,0.05685,NA,NA,0.99615,0.952991452991453,0.980650835532102,0.966623320329432,0.999645968283738,0.993977616663629,0.00546070732100358,0.99397485822591,18808,55,22,1115,"thres_cal"
"27","order1diff_var6_var4","LSTMAttention",0.1,"True","False",8,3,4,50,200,2,67.0408319339622,50770.6927757049,10.3113671599422,2024-11-03 08:47:43,0.926525,1,1,1,1,1,1,1,0.00277554942539585,1,18863,0,0,1137,1,1,1,1,1,1,0.000169332427753149,1,18863,0,0,1137,1,1,1,1,1,1,0.000169332427753149,1,18863,0,0,1137,0.0083372939632345,128,10,0.00427265310046331,0.485056132240979,1.41150835483611,NA,0.309604742218621,NA,NA,NA,NA,64,1,NA,0.0746791090385547,NA,NA,NA,NA,NA,NA,NA,NA,12,512,2,0.196231531668759,0.05685,NA,NA,1,1,1,1,1,1,0.000169332427753149,1,18863,0,0,1137,"thres_cal"
"28","order1diff_var6_var4","MLSTMFCN",0.1,"True","False",7,3,4,50,200,2,66.6758748395368,36957.6366408588,7.79593242611736,2024-10-15 20:31:51,0.99835086,0.998244073748903,0.99835,0.971794871794872,1,0.985695708712614,0.999998368087703,0.999972900139621,0.0932093599215658,0.999972888200177,18830,33,0,1137,0.99835,0.971794871794872,1,0.985695708712614,0.999998368087703,0.999972900139621,0.00275849083929673,0.999972888200177,18830,33,0,1137,0.9998,0.99649430324277,1,0.998244073748903,0.999998368087703,0.999972900139621,0.00275849083929673,0.999972888200177,18859,4,0,1137,0.0488969527520616,256,10,0.00354891691774868,0.170329732719852,1.34894907595168,NA,0.31390322761685,NA,NA,"[3, 5, 7]","[128, 256, 128]",120,1,0.100043210427802,0.33613454383272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05685,NA,NA,0.9998,0.99649430324277,1,0.998244073748903,0.999998368087703,0.999972900139621,0.00275849083929673,0.999972888200177,18859,4,0,1137,"thres_cal"
"29","order1diff_var6_var4","MLSTMFCN",0.1,"True","False",9,3,4,50,200,2,37.6238080160692,70494.1748719619,3.34400581102818,2024-10-31 07:58:18,0.8427597,0.977777777777778,0.9943,0.925895087427144,0.978012313104661,0.951240376390077,0.98897853060845,0.981900227130321,0.101455867563206,0.981897473580911,18774,89,25,1112,0.9943,0.925895087427144,0.978012313104661,0.951240376390077,0.98897853060845,0.981900227130321,0.0726135474432908,0.981897473580911,18774,89,25,1112,0.9975,0.988319856244385,0.967458223394899,0.977777777777778,0.98897853060845,0.981900227130321,0.0726135474432908,0.981897473580911,18850,13,37,1100,0.0488969527520616,256,10,0.00354891691774868,0.170329732719852,1.34894907595168,NA,0.31390322761685,NA,NA,"[3, 5, 7]","[128, 256, 128]",120,1,0.100043210427802,0.33613454383272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05685,NA,NA,0.9975,0.988319856244385,0.967458223394899,0.977777777777778,0.98897853060845,0.981900227130321,0.0726135474432908,0.981897473580911,18850,13,37,1100,"thres_cal"
"30","order1diff_var6_var4","MLSTMFCN",0.1,"True","False",8,3,4,50,200,2,41.4938992629759,36490.392423552,9.76684673293494,2024-11-05 08:26:56,0.99531233,0.995181778361805,0.99655,0.942786069651741,1,0.970550576184379,0.999985079659001,0.999736772523856,0.0997484441012649,0.999736626103329,18794,69,0,1137,0.99655,0.942786069651741,1,0.970550576184379,0.999985102972034,0.999736789465504,0.00386342043310541,0.999737096409156,18794,69,0,1137,0.99945,0.991273996509599,0.999120492524186,0.995181778361805,0.999985102972034,0.999736789465504,0.00386342043310541,0.999737096409156,18853,10,1,1136,0.0488969527520616,256,10,0.00354891691774868,0.170329732719852,1.34894907595168,NA,0.31390322761685,NA,NA,"[3, 5, 7]","[128, 256, 128]",120,1,0.100043210427802,0.33613454383272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05685,NA,NA,0.99945,0.991273996509599,0.999120492524186,0.995181778361805,0.999985102972034,0.999736789465504,0.00386342043310541,0.999737096409156,18853,10,1,1136,"thres_cal"
